driverId,year,DNF_rate,ref,constructor,constructorRef,position_delta,high_alt_sucess_rate,team_avg_position,dvt,finish_volatility,years_active,top10,avg_finish
830,2015,0.5789473684210527,max_verstappen,5,toro_rosso,1.3999999999999986,1.0,9.617647058823529,-0.01896024464831816,3.7452191747168375,0,0.6666666666666666,9.8
826,2015,0.5789473684210527,kvyat,9,red_bull,2.25,0.6666666666666666,7.7894736842105265,0.03716216216216219,3.102418411497714,1,0.875,7.5
825,2015,1.0,kevin_magnussen,1,mclaren,,,12.033333333333333,,,1,,
4,2015,0.8333333333333334,alonso,1,mclaren,3.8181818181818183,0.0,12.033333333333333,-0.012339461092923693,3.406362544580944,1,0.18181818181818182,12.181818181818182
829,2015,1.0,stevens,209,manor,1.6666666666666679,0.3333333333333333,15.61111111111111,-0.029181494661921718,1.4817407180595246,1,0.0,16.066666666666666
834,2015,0.8,rossi,209,manor,2.4000000000000004,0.5,15.61111111111111,0.013523131672597817,2.33238075793812,0,0.0,15.4
3,2016,0.047619047619047616,rosberg,131,mercedes,-0.44999999999999996,0.6666666666666666,2.2,-0.022727272727272645,1.6085707942145415,2,1.0,2.25
1,2016,0.09523809523809523,hamilton,131,mercedes,2.368421052631579,1.0,2.2,0.04306220095693793,1.585949386665196,2,1.0,2.1052631578947367
20,2016,0.19047619047619047,vettel,6,ferrari,2.0,0.0,4.214285714285714,0.03688933200398811,1.6967300119830537,2,1.0,4.0588235294117645
817,2016,0.047619047619047616,ricciardo,9,red_bull,-0.4761904761904767,0.3333333333333333,4.523809523809524,0.03157894736842094,2.339641618388238,2,0.9523809523809523,4.380952380952381
13,2016,0.5238095238095238,massa,3,williams,-0.16666666666666607,0.3333333333333333,9.166666666666666,-0.08484848484848494,3.8365525934710103,2,0.7222222222222222,9.944444444444445
807,2016,0.42857142857142855,hulkenberg,10,force_india,-1.0,0.6666666666666666,8.714285714285714,-0.03953712632594028,3.7175353668999906,2,0.8235294117647058,9.058823529411764
822,2016,0.42857142857142855,bottas,3,williams,-0.4736842105263168,0.3333333333333333,9.166666666666666,0.0698564593301434,3.2341666306815195,2,0.7894736842105263,8.526315789473685
832,2016,0.6190476190476191,sainz,5,toro_rosso,0.7647058823529402,0.6666666666666666,11.0,0.058823529411764656,3.5303920207349786,1,0.5882352941176471,10.352941176470589
830,2016,0.14285714285714285,max_verstappen,9,red_bull,0.2777777777777777,1.0,4.523809523809524,-0.08070175438596502,2.865288212939473,1,0.9444444444444444,4.888888888888889
825,2016,0.8571428571428571,kevin_magnussen,4,renault,3.7058823529411775,0.0,14.175,0.016495487083722414,2.7326046233733967,2,0.11764705882352941,13.941176470588236
815,2016,0.3333333333333333,perez,10,force_india,1.1904761904761916,0.3333333333333333,8.714285714285714,0.01639344262295076,3.645890427152566,2,0.7619047619047619,8.571428571428571
18,2016,0.7619047619047619,button,1,mclaren,2.533333333333333,0.3333333333333333,10.404761904761905,-0.07643020594965665,3.0594117081556713,2,0.4666666666666667,11.2
831,2016,0.9523809523809523,nasr,15,sauber,3.294117647058826,1.0,15.0,-0.015686274509803866,2.578860025503879,1,0.058823529411764705,15.235294117647058
828,2016,1.0,ericsson,15,sauber,3.625,0.3333333333333333,15.0,0.004166666666666667,2.357667014232502,2,0.0,14.9375
8,2016,0.19047619047619047,raikkonen,6,ferrari,0.5294117647058822,0.3333333333333333,4.214285714285714,-0.11665004985044866,1.7068962504172833,2,1.0,4.705882352941177
837,2016,1.0,haryanto,209,manor,1.3333333333333357,1.0,17.025,-0.07032142274433027,2.042752923427804,0,0.0,18.22222222222222
826,2016,0.7619047619047619,kvyat,5,toro_rosso,1.4000000000000004,0.0,11.0,-0.09090909090909091,3.687817782917155,2,0.3333333333333333,12.0
824,2014,0.9333333333333333,jules_bianchi,206,marussia,1.666666666666666,1.0,15.964285714285714,0.0029828486204325024,2.6601482832520613,0,0.08333333333333333,15.916666666666666
13,2014,0.3684210526315789,massa,3,williams,-0.1875,1.0,6.157894736842105,-0.19764957264957264,4.013648589500581,0,0.6875,7.375
822,2015,0.2631578947368421,bottas,3,williams,-0.9411764705882355,1.0,6.777777777777778,0.0019286403085824425,3.702612936907345,1,0.7647058823529411,6.764705882352941
821,2016,0.9047619047619048,gutierrez,210,haas,0.0625,0.3333333333333333,12.289473684210526,-0.11884368308351184,2.8831406486676987,2,0.0,13.75
4,2016,0.6,alonso,1,mclaren,2.1176470588235308,0.3333333333333333,10.404761904761905,0.021941041862969538,3.792179167361458,2,0.5294117647058824,10.176470588235293
1,2017,0.05,hamilton,131,mercedes,0.8999999999999999,0.0,2.775,0.02702702702702693,2.215851980616034,3,1.0,2.7
20,2017,0.1,vettel,6,ferrari,0.7777777777777781,0.6666666666666666,3.5,0.2698412698412699,1.5355861067872503,3,1.0,2.5555555555555554
830,2017,0.4,max_verstappen,9,red_bull,2.615384615384615,0.3333333333333333,3.7,-0.1434511434511434,2.2241280453539938,2,1.0,4.230769230769231
817,2017,0.3,ricciardo,9,red_bull,4.071428571428571,0.3333333333333333,3.7,0.07335907335907345,1.2371791482634837,3,1.0,3.4285714285714284
8,2017,0.2,raikkonen,6,ferrari,-0.5294117647058822,0.6666666666666666,3.5,-0.2773109243697479,2.6814756047156427,3,0.9411764705882353,4.470588235294118
822,2017,0.05,bottas,131,mercedes,0.42105263157894735,1.0,2.775,-0.06211474632527261,1.4680342822085637,3,1.0,2.9473684210526314
832,2017,0.7,sainz,5,toro_rosso,2.416666666666666,0.0,11.131578947368421,0.25886524822695034,2.5207472437090286,2,0.8333333333333334,8.25
825,2017,0.8,kevin_magnussen,210,haas,2.0666666666666664,0.3333333333333333,11.131578947368421,-0.03010244286840031,2.6549743668986507,3,0.3333333333333333,11.466666666666667
815,2017,0.5,perez,10,force_india,1.1052631578947372,0.6666666666666666,7.9,0.0006662225183212056,2.8817892256850155,3,0.8947368421052632,7.894736842105263
835,2017,0.8125,jolyon_palmer,4,renault,2.454545454545455,1.0,10.305555555555555,-0.1644204851752022,2.335496832484569,1,0.09090909090909091,12.0
13,2017,0.631578947368421,massa,3,williams,1.1764705882352935,0.6666666666666666,10.0,0.06470588235294113,2.084711193725806,3,0.7647058823529411,9.352941176470589
828,2017,0.9,ericsson,15,sauber,2.1428571428571406,0.3333333333333333,14.131578947368421,-0.0462889066241022,2.144047288543376,3,0.0,14.785714285714286
4,2017,0.8421052631578947,alonso,1,mclaren,1.90909090909091,0.6666666666666666,11.694444444444445,0.04383502483264957,3.2141217326661256,3,0.45454545454545453,11.181818181818182
826,2017,0.9333333333333333,kvyat,5,toro_rosso,0.7272727272727266,0.0,11.131578947368421,-0.07801418439716311,2.174229226018437,3,0.2727272727272727,12.0
841,2017,1.0,giovinazzi,15,sauber,4.0,,14.131578947368421,0.15083798882681565,0.0,0,0.0,12.0
840,2017,0.8,stroll,3,williams,2.9375,0.6666666666666666,10.0,-0.11875,4.156602428666951,0,0.4375,11.1875
18,2017,1.0,button,1,mclaren,,,11.694444444444445,,,3,,
814,2017,1.0,resta,3,williams,,,10.0,,,0,,
843,2017,1.0,brendon_hartley,5,toro_rosso,5.5,0.0,11.131578947368421,-0.2576832151300236,1.0,0,0.0,14.0
20,2018,0.047619047619047616,vettel,6,ferrari,-0.19999999999999973,0.6666666666666666,3.0714285714285716,-0.025581395348837115,1.930673457630782,4,1.0,3.15
1,2018,0.047619047619047616,hamilton,131,mercedes,0.8,0.3333333333333333,2.85,0.31578947368421056,1.2439855304624727,4,1.0,1.95
8,2018,0.19047619047619047,raikkonen,6,ferrari,0.47058823529411775,1.0,3.0714285714285716,-0.05335157318741445,1.2141039670911937,4,1.0,3.235294117647059
817,2018,0.38095238095238093,ricciardo,9,red_bull,4.076923076923077,0.3333333333333333,3.5789473684210527,-0.11764705882352941,1.4675987714106857,4,1.0,4.0
4,2018,0.7619047619047619,alonso,1,mclaren,2.9333333333333336,0.3333333333333333,11.476190476190476,0.11120331950207475,3.9191835884530857,4,0.6,10.2
830,2018,0.19047619047619047,max_verstappen,9,red_bull,3.352941176470588,1.0,3.5789473684210527,0.030276816608996518,1.973877851242649,3,1.0,3.4705882352941178
807,2018,0.6190476190476191,hulkenberg,4,renault,1.7857142857142865,0.3333333333333333,8.761904761904763,0.07880434782608707,2.5763841138387766,4,0.7857142857142857,8.071428571428571
822,2018,0.14285714285714285,bottas,131,mercedes,0.4736842105263155,0.0,2.85,-0.36657433056325023,1.7739262680371282,4,1.0,3.8947368421052633
838,2018,0.7619047619047619,vandoorne,1,mclaren,3.684210526315791,0.3333333333333333,11.476190476190476,-0.08691854116619342,2.5208273715427465,2,0.21052631578947367,12.473684210526315
832,2018,0.5714285714285714,sainz,4,renault,0.3157894736842106,0.0,8.761904761904763,-0.08123569794050324,2.6629706611944246,3,0.6842105263157895,9.473684210526315
815,2018,0.47619047619047616,perez,10,force_india,1.2105263157894743,0.3333333333333333,9.475,-0.03318983474517425,3.4880087422696615,4,0.631578947368421,9.789473684210526
844,2018,0.6666666666666666,leclerc,15,sauber,2.533333333333333,1.0,10.975,0.07668944570994686,3.4032664048267245,0,0.6666666666666666,10.133333333333333
840,2018,0.8095238095238095,stroll,3,williams,2.421052631578947,0.3333333333333333,14.225,0.026917028951993258,2.641035640061974,1,0.10526315789473684,13.842105263157896
843,2018,0.9047619047619048,brendon_hartley,5,toro_rosso,1.799999999999999,0.3333333333333333,12.15,-0.0919067215363512,2.954469307488045,1,0.2,13.266666666666667
825,2018,0.5714285714285714,kevin_magnussen,210,haas,0.27777777777777857,0.6666666666666666,10.421052631578947,0.0297418630751964,3.7548322774924006,4,0.6111111111111112,10.11111111111111
828,2018,0.8095238095238095,ericsson,15,sauber,4.0,0.6666666666666666,10.975,-0.08267452766983795,2.272142107744467,4,0.35294117647058826,11.882352941176471
845,2018,0.9047619047619048,sirotkin,3,williams,1.833333333333334,0.6666666666666666,14.225,-0.04276508494434687,2.1147629234082532,0,0.05555555555555555,14.833333333333334
822,2019,0.14285714285714285,bottas,131,mercedes,1.0526315789473686,0.0,2.7857142857142856,0.03643724696356274,1.656013970794976,5,1.0,2.6842105263157894
1,2019,0.0,hamilton,131,mercedes,-0.04761904761904745,0.3333333333333333,2.7857142857142856,0.14529914529914525,2.1486693662244716,5,1.0,2.380952380952381
830,2019,0.09523809523809523,max_verstappen,9,red_bull,1.1578947368421053,0.6666666666666666,5.261904761904762,0.3298404381995714,1.7280479115138951,4,1.0,3.526315789473684
20,2019,0.23809523809523808,vettel,6,ferrari,-0.6842105263157894,0.6666666666666666,4.476190476190476,-0.1405375139977604,4.621400298634778,5,0.8421052631578947,5.105263157894737
844,2019,0.19047619047619047,leclerc,6,ferrari,-0.7894736842105261,0.6666666666666666,4.476190476190476,0.05935050391937297,3.518057887803874,1,0.9473684210526315,4.2105263157894735
825,2019,0.7142857142857143,kevin_magnussen,210,haas,-2.526315789473685,0.3333333333333333,13.05,-0.012300867110304491,3.6212668235304366,5,0.21052631578947367,13.210526315789474
807,2019,0.6666666666666666,hulkenberg,4,renault,-0.29411764705882426,0.3333333333333333,9.833333333333334,-0.046859421734795625,2.7389286416053684,5,0.5882352941176471,10.294117647058824
8,2019,0.7142857142857143,raikkonen,51,alfa,-0.6315789473684212,0.6666666666666666,12.19047619047619,0.10629111842105253,3.5227790590908445,5,0.47368421052631576,10.894736842105264
826,2019,0.6190476190476191,kvyat,5,toro_rosso,3.333333333333334,0.3333333333333333,10.69047619047619,0.002227171492204892,3.248931448269655,5,0.5555555555555556,10.666666666666666
846,2019,0.6190476190476191,norris,1,mclaren,-0.5294117647058822,0.6666666666666666,8.785714285714286,-0.07125777140124337,2.8087850320737227,0,0.6470588235294118,9.411764705882353
815,2019,0.6190476190476191,perez,211,racing_point,2.421052631578947,0.6666666666666666,10.857142857142858,0.08864265927977838,3.0243700839070824,5,0.5789473684210527,9.894736842105264
848,2019,0.3333333333333333,albon,5,toro_rosso,0.20000000000000107,0.3333333333333333,10.69047619047619,0.17216035634743873,3.650684867254362,0,0.65,8.85
841,2019,0.7142857142857143,giovinazzi,51,alfa,0.29999999999999893,0.6666666666666666,12.19047619047619,-0.11972656250000009,3.335790760824186,2,0.2,13.65
847,2019,0.9047619047619048,russell,3,williams,1.1578947368421062,0.3333333333333333,16.25,0.04453441295546554,1.8458608333421243,0,0.0,15.526315789473685
9,2019,0.9047619047619048,kubica,3,williams,-1.2631578947368407,0.3333333333333333,16.25,-0.04291497975708493,2.038412287477588,0,0.05263157894736842,16.94736842105263
817,2019,0.6190476190476191,ricciardo,4,renault,0.7333333333333325,0.6666666666666666,9.833333333333334,0.04406779661016951,3.2619012860600187,5,0.5333333333333333,9.4
832,2019,0.5238095238095238,sainz,1,mclaren,2.11764705882353,0.3333333333333333,8.785714285714286,0.10951697752271651,3.053162181731995,4,0.7647058823529411,7.823529411764706
822,2020,0.11764705882352941,bottas,131,mercedes,-1.9375,0.6666666666666666,3.2058823529411766,-0.34518348623853207,3.7536440627742,6,0.875,4.3125
813,2015,0.631578947368421,maldonado,208,lotus_f1,3.0,0.3333333333333333,8.84375,-0.11943462897526506,2.8442925306655784,1,0.6,9.9
833,2015,1.0,merhi,209,manor,2.916666666666668,1.0,15.61111111111111,0.007117437722419903,1.892969448600091,0,0.0,15.5
836,2016,0.9523809523809523,wehrlein,209,manor,2.75,0.6666666666666666,17.025,0.056534508076358216,2.633171804117612,0,0.0625,16.0625
839,2016,0.8888888888888888,ocon,209,manor,3.444444444444443,0.5,17.025,0.0014684287812040283,2.9439202887759484,0,0.0,17.0
836,2017,0.9444444444444444,wehrlein,15,sauber,2.5333333333333314,0.0,14.131578947368421,0.018746120422098056,2.4997777679003566,1,0.13333333333333333,13.866666666666667
842,2017,1.0,gasly,5,toro_rosso,3.4000000000000004,1.0,11.131578947368421,-0.2217494089834515,1.3564659966250538,0,0.0,13.6
839,2018,0.6190476190476191,ocon,10,force_india,1.4000000000000004,0.3333333333333333,9.475,0.029023746701847004,2.7129319932501073,2,0.6666666666666666,9.2
842,2018,0.6666666666666666,gasly,5,toro_rosso,1.5,0.6666666666666666,12.15,0.0843621399176955,3.314268395890713,1,0.3125,11.125
842,2019,0.5714285714285714,gasly,9,red_bull,0.5500000000000007,0.6666666666666666,5.261904761904762,-0.7009049773755655,3.980891859872609,2,0.7,8.95
154,2015,0.5789473684210527,grosjean,208,lotus_f1,2.153846153846155,0.3333333333333333,8.84375,0.02582223430279972,2.527950265408459,1,0.7692307692307693,8.615384615384615
154,2016,0.7142857142857143,grosjean,210,haas,2.5625,0.3333333333333333,12.289473684210526,0.043897216274089886,4.00780488547035,2,0.3125,11.75
154,2017,0.7,grosjean,210,haas,2.235294117647058,0.3333333333333333,11.131578947368421,0.011820330969267157,2.8491484796029014,3,0.47058823529411764,11.0
154,2018,0.7142857142857143,grosjean,210,haas,-0.4666666666666668,0.6666666666666666,10.421052631578947,-0.03636363636363648,3.745219174716837,4,0.4666666666666667,10.8
154,2019,0.7619047619047619,grosjean,210,haas,-1.333333333333334,0.3333333333333333,13.05,-0.026819923371647483,3.1790984046843636,5,0.2,13.4
844,2020,0.4117647058823529,leclerc,6,ferrari,1.0,0.6666666666666666,8.866666666666667,0.21052631578947373,3.762159772503841,2,0.7692307692307693,7.0
1,2020,0.0,hamilton,131,mercedes,0.0,0.6666666666666666,3.2058823529411766,0.4151376146788991,1.6153559979150107,6,1.0,1.875
832,2020,0.4117647058823529,sainz,1,mclaren,1.7857142857142856,0.6666666666666666,7.4411764705882355,0.08808582721626204,3.074749035718698,5,0.8571428571428571,6.785714285714286
815,2020,0.3333333333333333,perez,211,racing_point,0.07142857142857117,1.0,7.117647058823529,0.08677685950413218,4.013370510822899,6,0.9285714285714286,6.5
841,2020,0.6470588235294118,giovinazzi,51,alfa,3.2857142857142847,0.6666666666666666,13.147058823529411,-0.054010866091403084,2.6954231805876017,3,0.21428571428571427,13.857142857142858
849,2020,0.6470588235294118,latifi,3,williams,3.2857142857142865,0.6666666666666666,14.941176470588236,-0.03262092238470191,2.770102775666474,0,0.0,15.428571428571429
826,2020,0.5294117647058824,kvyat,213,alphatauri,1.1875,0.3333333333333333,9.294117647058824,-0.14319620253164547,3.3330729064933458,6,0.4375,10.625
848,2020,0.23529411764705882,albon,9,red_bull,-0.25,0.3333333333333333,6.088235294117647,-0.2729468599033817,3.960744879438715,1,0.75,7.75
8,2020,0.6470588235294118,raikkonen,51,alfa,3.1875,0.6666666666666666,13.147058823529411,0.011185682326621885,2.207940216581962,6,0.125,13.0
847,2020,0.7647058823529411,russell,3,williams,-1.384615384615385,0.0,14.941176470588236,0.02180496668685649,2.8158469565727886,1,0.07692307692307693,14.615384615384615
825,2020,0.8235294117647058,kevin_magnussen,210,haas,0.6363636363636367,0.6666666666666666,14.9375,0.014073792316470183,2.4896479886598457,6,0.09090909090909091,14.727272727272727
840,2020,0.375,stroll,211,racing_point,0.5454545454545459,0.5,7.117647058823529,0.016528925619834652,3.1333978072025612,3,0.9090909090909091,7.0
817,2020,0.29411764705882354,ricciardo,4,renault,0.6875,0.3333333333333333,7.117647058823529,0.05165289256198342,3.0310889132455348,6,0.875,6.75
830,2020,0.29411764705882354,max_verstappen,9,red_bull,0.5833333333333335,0.3333333333333333,6.088235294117647,0.6030595813204509,1.2555432644432802,5,1.0,2.4166666666666665
807,2020,0.3333333333333333,hulkenberg,211,racing_point,4.0,0.0,7.117647058823529,-0.053719008264462874,0.5,6,1.0,7.5
838,2016,1.0,vandoorne,1,mclaren,2.0,,10.404761904761905,0.03890160183066365,0.0,0,1.0,10.0
850,2020,0.5,pietro_fittipaldi,210,haas,0.5,,14.9375,-0.20502092050209206,1.0,0,0.0,18.0
830,2021,0.13636363636363635,max_verstappen,9,red_bull,1.210526315789474,0.75,4.545454545454546,0.5947368421052632,1.7550875790034806,6,1.0,1.8421052631578947
846,2021,0.3181818181818182,norris,1,mclaren,0.2857142857142865,0.5,7.5,0.11746031746031751,3.0468749091516933,2,0.9523809523809523,6.619047619047619
844,2021,0.2727272727272727,leclerc,6,ferrari,0.10000000000000053,0.5,6.363636363636363,-0.03714285714285714,3.5128336140500593,3,0.9,6.6
832,2021,0.13636363636363635,sainz,6,ferrari,1.4090909090909092,1.0,6.363636363636363,-0.02142857142857148,2.388419028258119,6,0.9090909090909091,6.5
817,2021,0.4090909090909091,ricciardo,1,mclaren,1.5238095238095237,0.25,7.5,-0.07936507936507932,3.490187086058799,7,0.6190476190476191,8.095238095238095
840,2021,0.5454545454545454,stroll,117,aston_martin,2.0,0.25,10.642857142857142,-0.013776050865418566,3.171898773330392,4,0.47368421052631576,10.789473684210526
4,2021,0.5,alonso,214,alpine,1.0999999999999996,0.75,9.142857142857142,0.010156249999999867,3.5139009661628204,7,0.75,9.05
815,2021,0.22727272727272727,perez,9,red_bull,-2.1999999999999993,1.0,4.545454545454546,-0.4519999999999998,4.8207883172775805,7,0.8,6.6
8,2021,0.75,raikkonen,51,alfa,0.5555555555555554,0.75,12.785714285714286,0.02234636871508386,2.7131367660166177,7,0.2222222222222222,12.5
841,2021,0.8181818181818182,giovinazzi,51,alfa,-0.14285714285714235,0.25,12.785714285714286,-0.009310986964618215,1.8491893179950092,4,0.09523809523809523,12.904761904761905
854,2021,0.8636363636363636,mick_schumacher,210,haas,1.3684210526315788,0.25,16.88095238095238,0.024125900081656857,1.9020327367992262,0,0.0,16.473684210526315
853,2021,0.9090909090909091,mazepin,210,haas,0.625,0.25,16.88095238095238,-0.05518335684062068,1.4238482187368149,0,0.0,17.8125
847,2021,0.8181818181818182,russell,3,williams,0.23529411764705976,0.25,14.075,0.10563159544457212,3.6951291234210375,2,0.23529411764705882,12.588235294117647
849,2021,0.7727272727272727,latifi,3,williams,0.05263157894736814,0.0,14.075,-0.07319809292324952,3.1270422689500945,1,0.10526315789473684,15.105263157894736
9,2021,0.5,kubica,51,alfa,2.0,,12.785714285714286,-0.13407821229050274,0.5,2,0.0,14.5
807,2017,0.7,hulkenberg,4,renault,-1.0,0.3333333333333333,10.305555555555555,0.022718521370812483,3.594922723474748,3,0.5714285714285714,10.071428571428571
838,2017,0.85,vandoorne,1,mclaren,2.428571428571429,0.0,11.694444444444445,-0.0016966406515099282,2.249716535431946,1,0.21428571428571427,11.714285714285714
840,2019,0.7142857142857143,stroll,211,racing_point,3.3684210526315788,0.3333333333333333,10.857142857142858,-0.11011080332409964,3.3002979803349226,2,0.3157894736842105,12.052631578947368
839,2017,0.45,ocon,10,force_india,1.5263157894736832,0.3333333333333333,7.9,-0.005996002664890063,2.012426767821596,1,0.9473684210526315,7.947368421052632
846,2020,0.29411764705882354,norris,1,mclaren,1.0,0.6666666666666666,7.4411764705882355,-0.04990118577075096,3.503904072602445,1,0.8125,7.8125
851,2020,0.0,aitken,3,williams,1.0,,14.941176470588236,-0.07086614173228345,0.0,0,0.0,16.0
1,2021,0.045454545454545456,hamilton,131,mercedes,0.2857142857142856,0.75,3.7045454545454546,0.25445515629564713,3.1153194731040244,7,0.9523809523809523,2.761904761904762
20,2021,0.7272727272727273,vettel,117,aston_martin,0.05263157894736814,0.5,10.642857142857142,-0.03850229600847759,4.019343808849849,7,0.3684210526315789,11.052631578947368
822,2021,0.22727272727272727,bottas,131,mercedes,0.7777777777777777,0.75,3.7045454545454546,-0.3496932515337423,3.8151743807531995,7,0.8333333333333334,5.0
844,2022,0.13636363636363635,leclerc,6,ferrari,1.0526315789473681,0.3333333333333333,3.380952380952381,0.019273535952557416,1.7487629185090685,4,1.0,3.3157894736842106
832,2022,0.2727272727272727,sainz,6,ferrari,1.5,0.3333333333333333,3.380952380952381,-0.03521126760563381,1.5811388300841898,7,1.0,3.5
1,2022,0.13636363636363635,hamilton,131,mercedes,1.2380952380952372,1.0,4.818181818181818,-0.11680143755615459,4.052937682086326,8,0.9047619047619048,5.380952380952381
847,2022,0.09090909090909091,russell,131,mercedes,0.9523809523809517,1.0,4.818181818181818,0.09074573225516616,2.5537309862460806,3,0.9523809523809523,4.380952380952381
825,2022,0.5909090909090909,kevin_magnussen,210,haas,-0.5,0.3333333333333333,13.428571428571429,0.019503546099290843,3.745367509040705,8,0.3333333333333333,13.166666666666666
822,2022,0.5,bottas,51,alfa,-0.17647058823529527,0.6666666666666666,11.523809523809524,0.09649975692756438,3.8814615732526168,8,0.5294117647058824,10.411764705882353
4,2022,0.45454545454545453,alonso,214,alpine,1.3529411764705888,0.3333333333333333,8.428571428571429,-0.025922233300099608,3.8339225263059586,8,0.8235294117647058,8.647058823529411
